id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
19726,8480000197269,Smoked salmon seasoning Hacendado,Preparado para salmón ahumado.,3.3,False,,España,"JESÚS NAVARRO, S.A.",0.75,"Oils, spices & sauces",False,,False,False,
19701,8480000197016,Pink Himalayan salt Hacendado,Sal rosa Himalaya,1.9,False,,Pakistán,"Envasado por Wassy Himalaya, S.L",0.25,"Oils, spices & sauces",False,,False,False,
5598,8480000055989,Oregano Hacendado,Orégano,0.95,False,,,"JESÚS NAVARRO, S.A.",0.025,"Oils, spices & sauces",False,,False,False,
5599,8480000055996,Parsley Hacendado,Perejil,0.9,False,,España,"JESÚS NAVARRO, S.A.",0.018,"Oils, spices & sauces",False,,False,False,
47994,8480000479945,Bay leaf Hacendado,Hojas de Laurel,0.8,False,,Turquía,SAFE SPICE GIDA STRERILIZASYON SAN. VE DIS TIC. A.S.,0.012,"Oils, spices & sauces",False,,False,False,
34131,8480000341310,Herbs of Provence Hacendado,Hierbas provenzales,1.2,False,,España,"JESÚS NAVARRO, S.A.",0.025,"Oils, spices & sauces",False,,False,False,
34128,8480000341280,Basil Hacendado,Albahaca,1.25,False,,España,"JESÚS NAVARRO, S.A.",0.02,"Oils, spices & sauces",False,,False,False,
34175,8480000341754,Rosemary Hacendado,Romero,1.35,False,,España,"JESÚS NAVARRO, S.A.",0.04,"Oils, spices & sauces",False,,False,False,
5547,8480000055477,Thyme Hacendado,Tomillo,1.05,False,,España,"JESÚS NAVARRO, S.A.",0.024,"Oils, spices & sauces",False,,False,False,
52739,8402001015106,Dill Hacendado,Eneldo hojas,1.85,False,,,"JESÚS NAVARRO, S.A.",0.018,"Oils, spices & sauces",False,,False,False,
34721,8480000347213,Cilantro Hacendado,Cilantro,1.85,False,,España,"JESÚS NAVARRO, S.A.",0.012,"Oils, spices & sauces",False,,False,False,
60873,8480000608734,Garlic and Parsley Hacendado,Sazonador Ajo Perejil,1.35,False,,España,"JESÚS NAVARRO, S.A.",0.074,"Oils, spices & sauces",False,,False,False,
34182,8480000341822,Food colouring Hacendado,Colorante alimentario,0.9,False,,España,"JESÚS NAVARRO, S.A.",0.085,"Oils, spices & sauces",False,,False,False,
34102,8480000341020,Smoked sweet paprika “de la Vera” Hacendado,"Pimentón Dulce Ahumado Denominación de Origen Protegida ""Pimentón de la Vera""",1.75,False,,Denominación de origen Pimentón de la Vera,"Orencio Hoyo, S.L",0.075,"Oils, spices & sauces",False,,False,False,
34116,8480000341167,Ground saffron Hacendado,Azafrán molido,1.75,False,,España,"JESÚS NAVARRO, S.A.",0.0004,"Oils, spices & sauces",False,,False,False,
34115,8480000341150,Saffron threads Hacendado,Azafrán hebra,1.7,False,,España,"JESÚS NAVARRO, S.A.",0.000375,"Oils, spices & sauces",False,,False,False,
34183,8480000341839,Hot paprika Hacendado,Pimentón picante,1.35,False,,España,"JESÚS NAVARRO, S.A.",0.06,"Oils, spices & sauces",False,,False,False,
60573,8402001018756,Sweet paprika Hacendado,Pimentón dulce,1.3,False,,,"JESÚS NAVARRO, S.A.",0.075,"Oils, spices & sauces",False,,False,False,
34171,8480000341716,Ground black pepper Hacendado,Pimienta negra molida,1.05,False,,España,"JESÚS NAVARRO, S.A.",0.07,"Oils, spices & sauces",False,,False,False,
67693,8480000676931,Black pepper grinder Hacendado,Molinillo pimienta negra,1.65,False,,España,"JESÚS NAVARRO, S.A.",0.065,"Oils, spices & sauces",False,,False,False,
34172,8480000341723,Whole black peppercorns Hacendado,Pimienta negra en grano,1.45,False,,España,"JESÚS NAVARRO, S.A.",0.07,"Oils, spices & sauces",False,,False,False,
67694,8480000676948,Rainbow peppercorn grinder Hacendado,Molinillo mix de pimientas,1.85,False,,España,"JESÚS NAVARRO, S.A.",0.05,"Oils, spices & sauces",False,,False,False,
34170,8480000341709,Ground white pepper Hacendado,Pimienta blanca molida,2.15,False,,España,"JESÚS NAVARRO, S.A.",0.07,"Oils, spices & sauces",False,,False,False,
86656,8480000866561,Granulated garlic Hacendado,Ajo,1.1,False,,España,"JESÚS NAVARRO, S.A.",0.115,"Oils, spices & sauces",False,,False,False,
34208,8718781824402,Crispy fried onion Hacendado,Cebolla frita crujiente,1.15,False,,,"Koyasan Foods Comercial, SL.",0.15,"Oils, spices & sauces",False,,False,False,
34177,8480000341778,Ground cinnamon Hacendado,Canela molida,0.95,False,,Origen: Ceylan e Indonesia.,"JESÚS NAVARRO, S.A.",0.052,"Oils, spices & sauces",False,,False,False,
52880,8402001017193,Cinnamon sticks Hacendado,,1.45,False,,,,0.019,"Oils, spices & sauces",False,,False,False,
34120,8480000341204,Ground cumin Hacendado,Comino molido,1.2,False,,España,"JESÚS NAVARRO, S.A.",0.058,"Oils, spices & sauces",False,,False,False,
34121,8480000341211,Whole cumin Hacendado,Comino en grano,1.95,False,,España,"JESÚS NAVARRO, S.A.",0.056,"Oils, spices & sauces",False,,False,False,
34125,8480000341259,Curry powder Hacendado,Curry,1.15,False,,España,"JESÚS NAVARRO, S.A.",0.057,"Oils, spices & sauces",False,,False,False,
34173,8480000341730,Ground nutmeg Hacendado,Nuez moscada molida,1.65,False,,España,"JESÚS NAVARRO, S.A.",0.058,"Oils, spices & sauces",False,,False,False,
34138,8480000341389,Ground onion Hacendado,Cebolla granulada,0.96,False,,España,"JESÚS NAVARRO, S.A.",0.06,"Oils, spices & sauces",False,,False,False,
34178,8480000341785,Cayenne pepper Hacendado,Cayena guindillas,1.3,False,,España,"JESÚS NAVARRO, S.A.",0.027,"Oils, spices & sauces",False,,False,False,
37417,8480000374172,Ground cayenne Hacendado,Cayena,1.59,False,,España,"JESÚS NAVARRO, S.A.",0.055,"Oils, spices & sauces",False,,False,False,
34163,8480000341631,Turmeric Hacendado,Cúrcuma,1.25,False,,España,"JESÚS NAVARRO, S.A.",0.06,"Oils, spices & sauces",False,,False,False,
34149,8480000341495,Ground Ginger Hacendado,Jengibre molido,1.65,False,,España,"JESÚS NAVARRO, S.A.",0.049,"Oils, spices & sauces",False,,False,False,
34122,8480000341228,Whole cloves Hacendado,Clavo en grano,1.75,False,,España,"JESÚS NAVARRO, S.A.",0.042,"Oils, spices & sauces",False,,False,False,
60869,8480000608697,Pine nuts Hacendado,Piñones,2.84,False,,Origen: Fuera de la UE.,"JESÚS NAVARRO, S.A.",0.07,"Oils, spices & sauces",False,,False,False,
23353,8480000233530,Tex-mex fajita seasoning mix Hacendado,Sazonador Fajitas,0.85,False,,España,"JESÚS NAVARRO, S.A.",0.017,"Oils, spices & sauces",False,,False,False,
11971,8480000119711,Garlic and lemon seasoning for meat and fish Hacendado,Sazonador Ajo y limón,1.05,False,,España,"JESÚS NAVARRO, S.A.",0.03,"Oils, spices & sauces",False,,False,False,
11972,8480000119728,Herbs of Provence seasoning for chicken and ribs Hacendado,Sazonador Hierbas Provenzales,1.0,False,,España,"JESÚS NAVARRO, S.A.",0.024,"Oils, spices & sauces",False,,False,False,
86659,8480000866592,Barbecue flavour seasoning mix for meat Hacendado,Sazonador BBQ,1.35,False,,España,"JESÚS NAVARRO, S.A.",0.057,"Oils, spices & sauces",False,,False,False,
34702,8480000347022,Paella seasoning mix with saffron Hacendado,Sazonador para paella con azafrán,1.45,False,,España,"JESÚS NAVARRO, S.A.",0.02,"Oils, spices & sauces",False,,False,False,
