id,language,ean,name,slug,legal_name,unit_price,bulk_price,is_discounted,previous_price,iva,age_check,alcohol_by_volume,is_new,is_pack,pack_size,description,minimum_amount,weight,brand,origin,supplier,category,warehouses,date
4240,es,9905000042405,"Aceite de oliva 0,4º Hacendado",aceite-oliva-04o-hacendado-botella,HACENDADO ACEITE DE OLIVA,8.0,8.0,False,        8.95,5,False,,False,False,,"Aceite de oliva 0,4º Hacendado",1,1.0,Hacendado,España,Aceites Abril S.L.,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4717,es,9904000047175,Aceite de oliva virgen extra Hacendado,aceite-oliva-virgen-extra-hacendado-garrafa,Aceite De Oliva Virgen Extra,29.55,9.85,False,,5,False,,False,False,,Aceite de oliva virgen extra Hacendado,1,3.0,Hacendado,"Puente de Génave, Sierra de Segura. Jaén.",ACEITES MAEVA S.L.U,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4740,es,9904000047403,Aceite de oliva virgen extra Hacendado,aceite-oliva-virgen-extra-hacendado-botella,ACEITE DE OLIVA VIRGEN EXTRA,9.9,9.9,False,,5,False,,False,False,,Aceite de oliva virgen extra Hacendado,1,1.0,Hacendado,Jaén,ACEITES MAEVA S.L.U,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4706,es,8480000047069,Aceite de oliva virgen extra Hacendado Gran Selección,aceite-oliva-virgen-extra-hacendado-gran-seleccion-botella,Aceite de Oliva Virgen Extra,8.1,10.8,False,,5,False,,False,False,,Aceite de oliva virgen extra Hacendado Gran Selección,1,0.75,Hacendado,España,Oleoestepa S.C.A.,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4640,es,9905000046403,Aceite de oliva 1º Hacendado,aceite-oliva-1o-hacendado-botella,HACENDADO ACEITE DE OLIVA,8.0,8.0,False,        8.95,5,False,,False,False,,Aceite de oliva 1º Hacendado,1,1.0,Hacendado,España,Aceites Abril S.L.,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4711,es,9903000047116,Aceite de oliva virgen Hacendado,aceite-oliva-virgen-hacendado-garrafa,Aceite De Oliva Virgen,26.3,8.77,False,       28.50,5,False,,False,False,,Aceite de oliva virgen Hacendado,1,3.0,Hacendado,"Puente de Génave, Sierra de Segura. Jaén.",ACEITES MAEVA S.L.U,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4749,es,9903000047499,Aceite de oliva virgen Hacendado,aceite-oliva-virgen-hacendado-botella,ACEITE DE OLIVA VIRGEN,8.95,8.95,False,        9.55,5,False,,False,False,,Aceite de oliva virgen Hacendado,1,1.0,Hacendado,"Puente de Génave, Sierra de Segura. Jaén.",ACEITES MAEVA S.L.U,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4204,es,8480000055217,Aceite de oliva suave Hacendado,aceite-oliva-suave-hacendado-garrafa,Aceite de Oliva - contiene exclusivamente aceites de oliva refinados y aceites de oliva vírgenes.,23.9,7.97,False,       26.70,5,False,,False,False,,Aceite de oliva suave Hacendado,1,3.0,Hacendado,España,Aceites Abril S.L.,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4609,es,8480000046093,Aceite de oliva intenso Hacendado,aceite-oliva-intenso-hacendado-garrafa,pt:Aceite de oliva - contiene exclusivamente aceites de oliva refinados y aceites de oliva vírgenes,23.9,7.97,False,       26.70,5,False,,False,False,,Aceite de oliva intenso Hacendado,1,3.0,Hacendado,España,Aceites Abril S.L.,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
4718,es,8480000047182,Aceite de oliva virgen extra Hacendado,aceite-oliva-virgen-extra-hacendado-spray,ACEITE DE OLIVA,3.3,16.5,False,,5,False,,False,False,,Aceite de oliva virgen extra Hacendado,1,0.2,Hacendado,,ACEITES MAEVA S.L.U,"Aceite, vinagre y sal","['mad1', 'mad2', 'bcn1', 'alc1', 'vlc1', 'svq1', '4115', '3532', '2183', '4483', '4421', '3684', '3968', '4644', '4097', '4293', '2581', '4537', '4572', '2623', '4416', '4028', '2343', '4436', '4281', '4308', '2749', '3947', '3951', '3996', '4068', '4069', '4230', '4267', '4354', '4385', '4472', '4558', '4697']",2024-05-26
