id,ean,name,legal_name,unit_price,is_discounted,previous_price,origin,supplier,weight,category,age_check,alcohol_by_volume,is_new,is_pack,pack_size
28373,8410024710892,Ron caribeño sabor coco Malibu,Licor Ron,12.6,False,,España,Pernod Ricard España,0.7,Bodega,True,18.0,False,False,
86232,8480000862327,Ron añejo La Recompensa,Ron,5.95,False,,,"Destilerías MG, S.L.",0.7,Bodega,True,37.5,False,False,
86707,8480000867070,Ron viejo La Recompensa,RON VIEJO,9.5,False,,,"JOSÉ ESTÉVEZ, S.A.",0.7,Bodega,True,40.0,False,False,
28571,8480000285713,Licor crema Irlandesa Royal Swan,LIQUOR,6.0,False,,España,"BARDINET,S.A.",0.7,Bodega,True,17.0,False,False,
22614,8480000226143,Licor crema de fresa Royal Swan,Licor,6.95,False,,,"BARDINET,S.A.",0.7,Bodega,True,15.0,False,False,
28506,8480000285065,Licor crema Puente Pazos,LICOR,6.25,False,,,"JOSÉ ESTÉVEZ, S.A.",0.7,Bodega,True,15.0,False,False,
67930,8480000679307,Licor crema choco avellana Royal Swan,,6.25,False,,,,0.7,Bodega,True,,False,False,
52875,8402001017155,Licor crema Caramel Biscuit Royal Swan,Licor,7.0,False,,,"BARDINET,S.A.",0.7,Bodega,True,15.0,False,False,
13493,8480000134936,Bebida espirituosa a base de vodka Knebep caramelo,Licor,5.7,False,,,"BARDINET,S.A.",0.7,Bodega,True,20.0,False,False,
28822,8480000288226,Vodka Knebep,Vodka,6.7,False,,España,"BARDINET,S.A.",1.0,Bodega,True,37.5,False,False,
35969,8402001009525,Licor de anís dulce Dama Mayor,Anís dulce,5.75,False,        5.90,España,Bodegas y Destilerías del Sur S.A.,0.7,Bodega,True,35.0,False,False,
28381,8411144100303,Licor de anís dulce La Castellana,Anis Dulce,9.25,False,,España,Beam Suntory Spain S.L,0.7,Bodega,True,35.0,False,False,
28508,8480000285089,Licor de hierbas Puente Pazos,Licor de hierbas,6.1,False,,,"MERCADONA, S.A.",0.7,Bodega,True,30.0,False,False,
28335,8007253900660,Licor de limoncello Franzini,Licor,6.85,False,,,Dilmoor,0.7,Bodega,True,30.0,False,False,
28724,4067700028570,Licor de hierbas Jägermeister,Licor,13.65,False,       14.50,Alemania,Spirit and Brands S.L.,0.7,Bodega,True,35.0,False,False,
28507,8480000285072,Aguardiente de orujo Puente Pazos,Aguardiente de orujo,7.1,False,,,"Pazo de Valdomiño, S.A.",0.7,Bodega,True,40.0,False,False,
28432,8005130001530,Licor dulce Amaretto Del Patriarca,AMARETTO DEL PATRIARCA,4.9,False,,"PRODUCIDO POR: CIEMME LIQUORI SPA   VIA GREGORCIC, 28   GORIZIA   ITALIA",CIEMME LIQUORI S.P.A.,0.7,Bodega,True,20.0,False,False,
23593,8480000235930,Tequila Gold Santa Concepción,Tequila Gold,10.5,False,,,"BARDINET,S.A.",0.7,Bodega,True,40.0,False,False,
52471,8420010120994,Pacharán Oibar,Pacharan Navarro,6.9,False,,,"Destilerías La Navarra, S.A.",1.0,Bodega,True,25.0,False,False,
