id,warehouse,language,ean,name,slug,legal_name,unit_price,bulk_price,is_discounted,previous_price,iva,age_check,alcohol_by_volume,is_new,is_pack,pack_size,description,minimum_amount,weight,brand,origin,supplier,category
66905,mad1,es,8480000669056,Bebida aromatizada a base de vino para cocinar Abuela Carola,bebida-aromatizada-base-vino-cocinar-abuela-carola-botella,Bebida aromatizada a base de vino para cocinar,2.35,3.13,False,,10,True,14.0,False,False,,Bebida aromatizada a base de vino para cocinar Abuela Carola,1,0.75,Abuela Carola,,"Bodegas EL Villar, S.C.V.","Aceite, vinagre y sal"
4905,mad1,es,8480000049056,Reducción de vinagre Pedro Ximénez Hacendado,reduccion-vinagre-pedro-ximenez-hacendado-botella,Reducción de Vinagre de Pedro Ximenez,2.25,7.5,False,,10,False,,False,False,,Reducción de vinagre Pedro Ximénez Hacendado,1,0.3,Hacendado,España,"J.R. Sabater, S.A.","Aceite, vinagre y sal"
26496,mad1,es,8480000264961,Vinagre balsámico de Módena Hacendado,vinagre-balsamico-modena-hacendado-botella,Vinagre Balsámico de Modena / Aceto balsamico di Modena Indicación Geográfica Protegida,2.45,4.9,False,        2.50,10,False,,False,False,,Vinagre balsámico de Módena Hacendado,1,0.5,Hacendado,España,"J.R. Sabater, S.A.","Aceite, vinagre y sal"
26497,mad1,es,8480000264978,Vinagre de manzana Hacendado sin filtrar,vinagre-manzana-hacendado-sin-filtrar-botella,Vinagre de manzana sin filtrar,1.7,3.4,False,,10,False,,False,False,,Vinagre de manzana Hacendado sin filtrar,1,0.5,Hacendado,España,"J.R. Sabater, S.A.","Aceite, vinagre y sal"
19731,mad1,es,8480000466020,Sal fina Hacendado,sal-fina-hacendado-paquete,Sal normal de mesa,0.35,0.35,False,,10,False,,False,False,,Sal fina Hacendado,1,1.0,Hacendado,ESPAÑA,Mercadona,"Aceite, vinagre y sal"
16864,mad1,es,8480000168641,Sal fina de mesa Hacendado,sal-fina-mesa-hacendado-bote,,0.75,2.5,False,,10,False,,False,False,,Sal fina de mesa Hacendado,1,0.3,Hacendado,,,"Aceite, vinagre y sal"
19732,mad1,es,8480000197498,Sal yodada fina Hacendado,sal-yodada-fina-hacendado-paquete,Sal yodada,0.35,0.35,False,,10,False,,False,False,,Sal yodada fina Hacendado,1,1.0,Hacendado,ESPAÑA,Mercadona,"Aceite, vinagre y sal"
19733,mad1,es,8480000197504,Sal gruesa Hacendado,sal-gruesa-hacendado-paquete,Sal gruesa para cocina,0.35,0.35,False,,10,False,,False,False,,Sal gruesa Hacendado,1,1.0,Hacendado,ESPAÑA,Mercadona,"Aceite, vinagre y sal"
29007,mad1,es,8480000290076,Bicarbonato sódico Hacendado,bicarbonato-sodico-hacendado-paquete,Bicarbonato de Sodio,1.5,1.5,False,,10,False,,False,False,,Bicarbonato sódico Hacendado,1,1.0,Hacendado,España,"JESÚS NAVARRO, S.A.","Aceite, vinagre y sal"
29006,mad1,es,8480000290069,Bicarbonato sódico Hacendado,bicarbonato-sodico-hacendado-bote,Bicarbonato de Sodio,1.1,3.67,False,,10,False,,False,False,,Bicarbonato sódico Hacendado,1,0.3,Hacendado,España,"JESÚS NAVARRO, S.A.","Aceite, vinagre y sal"
19740,mad1,es,8411131010592,Sal marina en escamas Polasal,sal-marina-escamas-polasal-bote,,2.0,16.0,False,,10,False,,False,False,,Sal marina en escamas Polasal,1,0.125,Polasal,,,"Aceite, vinagre y sal"
19734,mad1,es,8480000197344,Sal gruesa para hornear Hacendado,sal-gruesa-hornear-hacendado-paquete,Sal de cocina para hornear,1.1,0.55,False,,10,False,,False,False,,Sal gruesa para hornear Hacendado,1,2.0,Hacendado,ESPAÑA,Mercadona,"Aceite, vinagre y sal"
34130,mad1,es,8480000341303,Sal de ajo Hacendado,sal-ajo-hacendado-bote,Sazonador Sal de ajo,1.8,13.85,False,,10,False,,False,False,,Sal de ajo Hacendado,1,0.13,Hacendado,España,"JESÚS NAVARRO, S.A.","Aceite, vinagre y sal"
29016,mad1,es,8480000290168,Sal de frutas sabor limón Hacendado,sal-frutas-sabor-limon-hacendado-bote,"Sal de Frutas.  Producto sólido en polvo para preparar bebida refrescante aromatizada sabor limón, ""con edulcorante"".",2.1,8.4,False,,10,False,,False,False,,Sal de frutas sabor limón Hacendado,1,0.25,Hacendado,España,"JESÚS NAVARRO, S.A.","Aceite, vinagre y sal"
